symptoms,disease,risk_level
loss of appetite and swollen salivary glands and muscle aches,Mumps,MEDIUM
"fatigue, weight loss, tremors",Hyperthyroidism,MEDIUM
"weight gain, muscle weakness, dry skin, constipation, fatigue, cold sensitivity",Hypothyroidism,MEDIUM
"back pain, weakness, stooped posture, joint pain, bone fractures",Osteoporosis,MEDIUM
"staring spells, confusion, loss of consciousness, seizures",Epilepsy,HIGH
stooped posture and loss of height and back pain and weakness,Osteoporosis,MEDIUM
scaling burning sensation itching,Fungal Infection,LOW
"high fever, runny nose, cough, sensitivity to light, rash, red eyes",Measles,MEDIUM
pain during urination and nausea and severe pain in side and pink urine and frequent urination,Kidney Stones,HIGH
runny nose and facial pain and headache and bad breath and fever and nasal congestion,Sinusitis,LOW
"irritability, headache, difficulty concentrating, difficulty falling asleep, waking up at night",Insomnia,LOW
"shortness of breath, mucus production, chest discomfort, mild fever",Bronchitis,MEDIUM
burning sensation redness scaling,Fungal Infection,LOW
"dark urine, dry skin, dry mouth, fatigue, dizziness",Dehydration,MEDIUM
itchy nose and itchy throat and sneezing and runny nose and watery eyes and nasal congestion,Allergic Rhinitis,LOW
watery eyes red eyes gritty feeling discharge from eyes itchy eyes,Conjunctivitis,LOW
chest pain headache dizziness,Hypertension,HIGH
gritty feeling and sensitivity to light and itchy eyes and red eyes,Conjunctivitis,LOW
appetite changes difficulty concentrating persistent sadness sleep problems,Depression,MEDIUM
swollen legs shortness of breath fatigue chest pain dizziness irregular heartbeat,Heart Disease,HIGH
rough patches dry skin cracked skin red patches itchy skin,Eczema,LOW
diarrhea fever vomiting,Food Poisoning,MEDIUM
neck pain dull headache tenderness on scalp pressure around forehead,Tension Headache,LOW
"headache, loss of appetite, fatigue",Mumps,MEDIUM
"vomiting, dark stool, nausea",Peptic Ulcer,MEDIUM
gas diarrhea cramping,Irritable Bowel Syndrome,LOW
coughing blood and persistent cough and fever and night sweats and chest pain,Tuberculosis,HIGH
unconsciousness and high body temperature and confusion and red skin and rapid heartbeat and nausea,Heat Stroke,HIGH
"nausea, headache, eye pain, blurred vision, halos around lights, vision loss",Glaucoma,HIGH
"stomach pain, nausea, hives, difficulty breathing",Food Allergy,MEDIUM
"visual disturbances, nausea, vomiting",Migraine,LOW
fever nasal congestion facial pain bad breath,Sinusitis,LOW
"itching, redness, cracking skin",Fungal Infection,LOW
fever and headache and fatigue,Chickenpox,MEDIUM
"fatigue, pressure around forehead, dull headache",Tension Headache,LOW
regurgitation difficulty swallowing sour taste,Acid Reflux (GERD),LOW
"swelling, muscle pain, muscle spasms, limited movement, weakness, bruising",Muscle Strain,LOW
"pimples, oily skin, whiteheads",Acne,LOW
"vision loss, nausea, halos around lights, headache, blurred vision",Glaucoma,HIGH
fatigue chills high fever difficulty breathing cough with phlegm,Pneumonia,HIGH
headache shortness of breath fatigue,Anemia,MEDIUM
wheezing and difficulty breathing and rapid breathing and shortness of breath and coughing at night and chest tightness,Asthma,MEDIUM
chest pain shortness of breath swollen legs irregular heartbeat fatigue,Heart Disease,HIGH
dizziness thirst dry skin,Dehydration,MEDIUM
"chest pain, shortness of breath, headache, dizziness, nosebleeds",Hypertension,HIGH
fatigue and loss of appetite and abdominal pain and jaundice and nausea,Hepatitis,HIGH
itchy nose sneezing nasal congestion watery eyes itchy throat runny nose,Allergic Rhinitis,LOW
swelling dry skin cracking itchy skin blisters redness,Dermatitis,LOW
"vomiting, nausea, high fever",Malaria,HIGH
pelvic pain fever burning urination cloudy urine frequent urination,Urinary Tract Infection,MEDIUM
red patches and thick nails and itching and silvery scales and dry cracked skin,Psoriasis,LOW
fatigue and frequent urination and swollen ankles and muscle cramps and blood in urine,Kidney Disease,HIGH
"jaundice, dark urine, fatigue, nausea",Hepatitis,HIGH
red patches dry cracked skin thick nails,Psoriasis,LOW
fatigue chills sore throat,Influenza (Flu),MEDIUM
runny nose and high fever and body aches,Influenza (Flu),MEDIUM
swelling cracking redness,Dermatitis,LOW
sore throat mild fever congestion runny nose watery eyes sneezing,Common Cold,LOW
"diarrhea, gas, cramping, abdominal pain, constipation, bloating",Irritable Bowel Syndrome,LOW
strong urine odor and burning urination and pelvic pain and cloudy urine and fever and frequent urination,Urinary Tract Infection,MEDIUM
"vision problems, headache, chest pain",Hypertension,HIGH
chills high fever chest pain,Pneumonia,HIGH
"dry skin, red patches, swelling, rough patches",Eczema,LOW
"heartburn, dark stool, vomiting, bloating",Peptic Ulcer,MEDIUM
"dry skin, cracking, blisters",Dermatitis,LOW
"muscle pain, weakness, bruising, swelling, muscle spasms",Muscle Strain,LOW
loss of height and joint pain and back pain and stooped posture,Osteoporosis,MEDIUM
swollen ankles and frequent urination and foamy urine and muscle cramps and fatigue,Kidney Disease,HIGH
fatigue persistent cough mucus production chest discomfort mild fever,Bronchitis,MEDIUM
"rough patches, swelling, cracked skin, itchy skin, red patches, dry skin",Eczema,LOW
"fatigue, persistent cough, fever",Tuberculosis,HIGH
"red spots, loss of appetite, headache, fever, blisters",Chickenpox,MEDIUM
whiteheads skin inflammation oily skin blackheads,Acne,LOW
muscle weakness and dry skin and constipation and weight gain,Hypothyroidism,MEDIUM
nosebleeds chest pain dizziness shortness of breath,Hypertension,HIGH
vision problems chest pain headache shortness of breath,Hypertension,HIGH
stiffness and fatigue and swelling and redness around joints and reduced range of motion,Arthritis,MEDIUM
"high fever, chills, fatigue, sore throat",Influenza (Flu),MEDIUM
scarring and whiteheads and pimples and blackheads,Acne,LOW
swollen legs and fatigue and chest pain and shortness of breath and dizziness and irregular heartbeat,Heart Disease,HIGH
"stooped posture, loss of height, joint pain, bone fractures, weakness, back pain",Osteoporosis,MEDIUM
persistent cough and mucus production and mild fever,Bronchitis,MEDIUM
abdominal pain and fatigue and dark urine,Hepatitis,HIGH
chest discomfort persistent cough fatigue shortness of breath,Bronchitis,MEDIUM
shortness of breath and swollen legs and fatigue and irregular heartbeat and chest pain,Heart Disease,HIGH
"rough patches, cracked skin, dry skin, red patches",Eczema,LOW
confusion nausea rapid heartbeat,Heat Stroke,HIGH
increased thirst and frequent urination and fatigue and slow healing wounds and weight loss,Diabetes,HIGH
muscle weakness and dry skin and weight gain and cold sensitivity and constipation and depression,Hypothyroidism,MEDIUM
"weakness, cold hands, headache, shortness of breath",Anemia,MEDIUM
spinning sensation dizziness vomiting nausea headache balance problems,Vertigo,MEDIUM
"muscle pain, pain behind eyes, rash, severe headache, bleeding gums, high fever",Dengue,HIGH
fatigue swollen salivary glands pain while chewing muscle aches fever headache,Mumps,MEDIUM
nausea and weight loss and heartburn and bloating and dark stool and stomach pain,Peptic Ulcer,MEDIUM
"fatigue, excessive worry, restlessness",Anxiety Disorder,MEDIUM
"sweating, fatigue, chills, muscle pain",Malaria,HIGH
persistent sadness appetite changes difficulty concentrating sleep problems loss of interest,Depression,MEDIUM
chest tightness coughing at night difficulty breathing,Asthma,MEDIUM
persistent cough shortness of breath mild fever fatigue,Bronchitis,MEDIUM
frequent urination strong urine odor pelvic pain fever,Urinary Tract Infection,MEDIUM
"frequent urination, blurred vision, increased thirst, slow healing wounds",Diabetes,HIGH
visual disturbances sensitivity to sound severe headache sensitivity to light vomiting nausea,Migraine,LOW
runny nose nasal congestion watery eyes itchy throat itchy nose,Allergic Rhinitis,LOW
severe abdominal pain vomiting loss of appetite constipation nausea fever,Appendicitis,HIGH
ring-shaped rash itching redness cracking skin,Fungal Infection,LOW
reduced range of motion swelling stiffness joint pain redness around joints,Arthritis,MEDIUM
itchy skin cracked skin red patches,Eczema,LOW
hives and dizziness and stomach pain and difficulty breathing,Food Allergy,MEDIUM
dehydration vomiting stomach pain nausea diarrhea,Food Poisoning,MEDIUM
eye pain halos around lights blurred vision vision loss headache nausea,Glaucoma,HIGH
muscle aches and headache and fever and loss of appetite and fatigue,Mumps,MEDIUM
strong urine odor fever cloudy urine,Urinary Tract Infection,MEDIUM
headache high body temperature nausea rapid heartbeat red skin confusion,Heat Stroke,HIGH
headache and waking up at night and irritability,Insomnia,LOW
coughing at night chest tightness wheezing shortness of breath rapid breathing difficulty breathing,Asthma,MEDIUM
vomiting headache high fever fatigue muscle pain,Malaria,HIGH
"chest pain, sour taste, regurgitation, bloating",Acid Reflux (GERD),LOW
"headache, dry skin, dry mouth, thirst, fatigue",Dehydration,MEDIUM
pain while chewing and fatigue and headache and fever and loss of appetite,Mumps,MEDIUM
shortness of breath nosebleeds dizziness vision problems headache chest pain,Hypertension,HIGH
"red eyes, watery eyes, itchy eyes, discharge from eyes",Conjunctivitis,LOW
"muscle pain, high fever, vomiting, fatigue, chills",Malaria,HIGH
weight loss and blurred vision and increased thirst,Diabetes,HIGH
"loss of appetite, dark urine, fatigue",Hepatitis,HIGH
constipation and bloating and gas and abdominal pain,Irritable Bowel Syndrome,LOW
"swelling, red patches, itchy skin, cracked skin, dry skin, rough patches",Eczema,LOW
whiteheads blackheads oily skin skin inflammation pimples,Acne,LOW
"rash, muscle pain, high fever, joint pain, severe headache",Dengue,HIGH
"frequent urination, blood in urine, fatigue, swollen ankles",Kidney Disease,HIGH
headache irritability daytime fatigue difficulty concentrating waking up at night,Insomnia,LOW
"whiteheads, scarring, skin inflammation",Acne,LOW
"severe pain in side, pain during urination, nausea, pink urine, vomiting",Kidney Stones,HIGH
joint pain jaundice nausea abdominal pain,Hepatitis,HIGH
"nausea, unconsciousness, high body temperature, red skin",Heat Stroke,HIGH
headache swollen salivary glands fatigue muscle aches fever loss of appetite,Mumps,MEDIUM
"high fever, difficulty breathing, sweating, cough with phlegm",Pneumonia,HIGH
"bad breath, nasal congestion, headache, cough, runny nose, fever",Sinusitis,LOW
"stomach pain, heartburn, vomiting",Peptic Ulcer,MEDIUM
high fever body aches sore throat headache,Influenza (Flu),MEDIUM
"mild fever, mucus production, chest discomfort, shortness of breath, persistent cough, fatigue",Bronchitis,MEDIUM
"chest pain, difficulty breathing, fatigue, sweating, cough with phlegm, high fever",Pneumonia,HIGH
"severe abdominal pain, fever, nausea",Appendicitis,HIGH
sweating and weight loss and difficulty sleeping and tremors,Hyperthyroidism,MEDIUM
vision problems nosebleeds chest pain dizziness,Hypertension,HIGH
"itchy eyes, discharge from eyes, watery eyes, gritty feeling, red eyes",Conjunctivitis,LOW
halos around lights eye pain nausea vision loss blurred vision headache,Glaucoma,HIGH
"headache, difficulty concentrating, difficulty falling asleep, waking up at night",Insomnia,LOW
"loss of appetite, fever, nausea, vomiting, constipation, severe abdominal pain",Appendicitis,HIGH
"fever, strong urine odor, pelvic pain, burning urination",Urinary Tract Infection,MEDIUM
shortness of breath headache cold hands weakness fatigue,Anemia,MEDIUM
"swelling, redness around joints, joint pain, stiffness, reduced range of motion, fatigue",Arthritis,MEDIUM
nausea and vomiting and dehydration and diarrhea and stomach cramps,Gastroenteritis,MEDIUM
fatigue dizziness dry skin,Dehydration,MEDIUM
vomiting headache nausea sweating,Malaria,HIGH
itching stomach pain swelling,Food Allergy,MEDIUM
"diarrhea, weakness, headache, rash, stomach pain, prolonged fever",Typhoid,HIGH
swollen legs shortness of breath irregular heartbeat fatigue dizziness chest pain,Heart Disease,HIGH
"swelling, weakness, muscle spasms, muscle pain, bruising, limited movement",Muscle Strain,LOW
shortness of breath and fatigue and mucus production and persistent cough and mild fever,Bronchitis,MEDIUM
discharge from eyes red eyes itchy eyes,Conjunctivitis,LOW
skin inflammation and whiteheads and blackheads and pimples and scarring,Acne,LOW
fatigue difficulty concentrating persistent sadness sleep problems appetite changes loss of interest,Depression,MEDIUM
"redness around joints, stiffness, joint pain",Arthritis,MEDIUM
swelling fatigue stiffness reduced range of motion,Arthritis,MEDIUM
blood in urine muscle cramps fatigue swollen ankles foamy urine frequent urination,Kidney Disease,HIGH
"bone fractures, joint pain, weakness, back pain",Osteoporosis,MEDIUM
"nosebleeds, dizziness, headache, vision problems",Hypertension,HIGH
bruising swelling muscle spasms muscle pain,Muscle Strain,LOW
chest pain dizziness fatigue,Heart Disease,HIGH
dizziness shortness of breath swollen legs chest pain irregular heartbeat fatigue,Heart Disease,HIGH
fatigue dull headache neck pain,Tension Headache,LOW
headache stomach pain diarrhea rash prolonged fever loss of appetite,Typhoid,HIGH
"fever, weight loss, fatigue",Tuberculosis,HIGH
"high body temperature, headache, red skin",Heat Stroke,HIGH
blisters loss of appetite fever itchy rash headache red spots,Chickenpox,MEDIUM
pressure around forehead dull headache tenderness on scalp neck pain fatigue,Tension Headache,LOW
"constipation, loss of appetite, nausea, fever, severe abdominal pain, vomiting",Appendicitis,HIGH
"nausea, constipation, severe abdominal pain, loss of appetite, fever, vomiting",Appendicitis,HIGH
"irritability, daytime fatigue, difficulty concentrating, headache, waking up at night, difficulty falling asleep",Insomnia,LOW
loss of height bone fractures stooped posture joint pain back pain weakness,Osteoporosis,MEDIUM
"itchy rash, blisters, headache, fatigue, fever",Chickenpox,MEDIUM
"back pain, joint pain, weakness",Osteoporosis,MEDIUM
"pressure around forehead, fatigue, neck pain",Tension Headache,LOW
"loss of appetite, swollen salivary glands, pain while chewing",Mumps,MEDIUM
severe pain in side pain during urination vomiting,Kidney Stones,HIGH
bad breath nasal congestion facial pain,Sinusitis,LOW
sensitivity to light nausea visual disturbances sensitivity to sound severe headache vomiting,Migraine,LOW
"neck pain, pressure around forehead, fatigue",Tension Headache,LOW
swelling and hives and difficulty breathing and itching and stomach pain,Food Allergy,MEDIUM
fatigue weight gain depression cold sensitivity dry skin,Hypothyroidism,MEDIUM
"itching, difficulty breathing, dizziness",Food Allergy,MEDIUM
"burning urination, strong urine odor, cloudy urine, fever, pelvic pain",Urinary Tract Infection,MEDIUM
"joint pain, stiffness, reduced range of motion, swelling, fatigue",Arthritis,MEDIUM
"regurgitation, chest pain, difficulty swallowing, sour taste, bloating",Acid Reflux (GERD),LOW
dark stool stomach pain heartburn,Peptic Ulcer,MEDIUM
anxiety loss of consciousness seizures confusion uncontrollable jerking staring spells,Epilepsy,HIGH
"fatigue, pale skin, headache, dizziness, shortness of breath",Anemia,MEDIUM
"dark stool, weight loss, heartburn",Peptic Ulcer,MEDIUM
itchy skin blisters dry skin cracking swelling redness,Dermatitis,LOW
"mild fever, shortness of breath, mucus production, chest discomfort, persistent cough",Bronchitis,MEDIUM
headache body aches cough,Influenza (Flu),MEDIUM
"fatigue, fever, muscle aches",Mumps,MEDIUM
muscle spasms weakness limited movement swelling muscle pain bruising,Muscle Strain,LOW
"swelling, rough patches, red patches, itchy skin",Eczema,LOW
cloudy urine frequent urination burning urination pelvic pain fever,Urinary Tract Infection,MEDIUM
oily skin and skin inflammation and scarring and pimples and blackheads and whiteheads,Acne,LOW
nausea and dehydration and vomiting and stomach pain and fever,Food Poisoning,MEDIUM
headache vision loss blurred vision nausea,Glaucoma,HIGH
"blisters, fever, headache, red spots",Chickenpox,MEDIUM
"fever, burning urination, frequent urination, cloudy urine, strong urine odor, pelvic pain",Urinary Tract Infection,MEDIUM
shortness of breath and chest discomfort and fatigue and mild fever and persistent cough,Bronchitis,MEDIUM
diarrhea and fever and headache and dehydration,Gastroenteritis,MEDIUM
itchy throat watery eyes nasal congestion,Allergic Rhinitis,LOW
cloudy urine fever burning urination pelvic pain strong urine odor,Urinary Tract Infection,MEDIUM
"redness around joints, swelling, joint pain, stiffness, fatigue",Arthritis,MEDIUM
"dizziness, pale skin, fatigue, headache",Anemia,MEDIUM
weakness joint pain loss of height back pain stooped posture bone fractures,Osteoporosis,MEDIUM
vomiting fever severe abdominal pain nausea loss of appetite constipation,Appendicitis,HIGH
eye pain blurred vision vision loss,Glaucoma,HIGH
increased thirst frequent urination weight loss slow healing wounds fatigue blurred vision,Diabetes,HIGH
dizziness fatigue irregular heartbeat chest pain shortness of breath,Heart Disease,HIGH
difficulty sleeping rapid heartbeat fatigue,Hyperthyroidism,MEDIUM
fatigue and dry mouth and dizziness and dry skin,Dehydration,MEDIUM
"fatigue, chills, high fever, difficulty breathing, cough with phlegm, sweating",Pneumonia,HIGH
"red eyes, watery eyes, discharge from eyes, gritty feeling",Conjunctivitis,LOW
mild fever watery eyes congestion,Common Cold,LOW
"cracked skin, rough patches, itchy skin, dry skin, red patches",Eczema,LOW
sensitivity to light visual disturbances vomiting sensitivity to sound nausea,Migraine,LOW
halos around lights nausea headache,Glaucoma,HIGH
muscle aches and headache and swollen salivary glands and fever and pain while chewing and fatigue,Mumps,MEDIUM
nausea sensitivity to light severe headache,Migraine,LOW
headache confusion nausea rapid heartbeat high body temperature,Heat Stroke,HIGH
"itchy rash, fatigue, loss of appetite, headache",Chickenpox,MEDIUM
itching red patches silvery scales thick nails burning dry cracked skin,Psoriasis,LOW
headache high fever body aches fatigue sore throat,Influenza (Flu),MEDIUM
cough chills runny nose body aches,Influenza (Flu),MEDIUM
constipation and abdominal pain and cramping,Irritable Bowel Syndrome,LOW
dizziness and fatigue and dark urine and dry skin and headache and thirst,Dehydration,MEDIUM
chest pain heartburn sour taste difficulty swallowing regurgitation bloating,Acid Reflux (GERD),LOW
"cold hands, headache, weakness, shortness of breath, fatigue",Anemia,MEDIUM
mild fever runny nose congestion sneezing cough watery eyes,Common Cold,LOW
weight loss and stomach pain and bloating and vomiting and heartburn and dark stool,Peptic Ulcer,MEDIUM
"rash, red eyes, white spots in mouth, runny nose",Measles,MEDIUM
"restlessness, difficulty concentrating, irritability, muscle tension, excessive worry",Anxiety Disorder,MEDIUM
fatigue and dizziness and chest pain and irregular heartbeat and shortness of breath,Heart Disease,HIGH
chest pain and fever and persistent cough and night sweats and fatigue,Tuberculosis,HIGH
high fever vomiting muscle pain nausea,Malaria,HIGH
mild fever fatigue persistent cough chest discomfort,Bronchitis,MEDIUM
"wheezing, chest tightness, shortness of breath",Asthma,MEDIUM
"shortness of breath, vision problems, dizziness, headache",Hypertension,HIGH
"coughing at night, wheezing, shortness of breath, chest tightness",Asthma,MEDIUM
unconsciousness headache confusion rapid heartbeat high body temperature red skin,Heat Stroke,HIGH
"fatigue, restlessness, irritability, sleep problems, muscle tension",Anxiety Disorder,MEDIUM
red eyes discharge from eyes sensitivity to light,Conjunctivitis,LOW
nausea and balance problems and dizziness and vomiting and headache,Vertigo,MEDIUM
weakness pale skin cold hands,Anemia,MEDIUM
sensitivity to light white spots in mouth runny nose red eyes cough high fever,Measles,MEDIUM
nausea headache eye pain blurred vision halos around lights vision loss,Glaucoma,HIGH
sneezing runny nose watery eyes,Allergic Rhinitis,LOW
mild fever runny nose sore throat congestion sneezing,Common Cold,LOW
tremors anxiety rapid heartbeat,Hyperthyroidism,MEDIUM
rash weakness prolonged fever loss of appetite diarrhea,Typhoid,HIGH
difficulty breathing and shortness of breath and chest tightness and coughing at night,Asthma,MEDIUM
"jaundice, fatigue, dark urine, joint pain, nausea, abdominal pain",Hepatitis,HIGH
"visual disturbances, sensitivity to light, sensitivity to sound",Migraine,LOW
muscle cramps and swollen ankles and foamy urine and fatigue,Kidney Disease,HIGH
"excessive worry, sleep problems, fatigue, restlessness, muscle tension, difficulty concentrating",Anxiety Disorder,MEDIUM
headache nausea vomiting balance problems,Vertigo,MEDIUM
"redness, ring-shaped rash, burning sensation, itching, cracking skin, scaling",Fungal Infection,LOW
balance problems vomiting headache dizziness,Vertigo,MEDIUM
fatigue and blisters and headache,Chickenpox,MEDIUM
fatigue night sweats persistent cough chest pain weight loss fever,Tuberculosis,HIGH
"halos around lights, headache, blurred vision, eye pain, vision loss",Glaucoma,HIGH
loss of appetite and constipation and fever,Appendicitis,HIGH
headache fatigue pain while chewing loss of appetite muscle aches,Mumps,MEDIUM
"watery eyes, sneezing, mild fever, runny nose, congestion",Common Cold,LOW
bloating heartburn sour taste regurgitation,Acid Reflux (GERD),LOW
swelling cracking blisters dry skin itchy skin,Dermatitis,LOW
"shortness of breath, coughing at night, difficulty breathing, wheezing",Asthma,MEDIUM
excessive worry sleep problems muscle tension,Anxiety Disorder,MEDIUM
oily skin and blackheads and pimples and skin inflammation and whiteheads,Acne,LOW
sleep problems restlessness irritability fatigue muscle tension,Anxiety Disorder,MEDIUM
"abdominal pain, cramping, bloating, gas, diarrhea",Irritable Bowel Syndrome,LOW
"nosebleeds, dizziness, chest pain",Hypertension,HIGH
stomach pain and dark stool and weight loss,Peptic Ulcer,MEDIUM
"increased thirst, slow healing wounds, fatigue",Diabetes,HIGH
"visual disturbances, severe headache, vomiting",Migraine,LOW
"severe headache, rash, high fever, bleeding gums",Dengue,HIGH
constipation bloating cramping gas,Irritable Bowel Syndrome,LOW
"difficulty breathing, hives, swelling",Food Allergy,MEDIUM
hives difficulty breathing dizziness stomach pain itching nausea,Food Allergy,MEDIUM
irritability and excessive worry and difficulty concentrating and fatigue and sleep problems and restlessness,Anxiety Disorder,MEDIUM
"rash, sensitivity to light, cough, white spots in mouth, runny nose",Measles,MEDIUM
weakness diarrhea prolonged fever rash,Typhoid,HIGH
tenderness on scalp and fatigue and neck pain and pressure around forehead,Tension Headache,LOW
loss of appetite and stomach pain and rash and diarrhea and headache and weakness,Typhoid,HIGH
nasal congestion watery eyes itchy nose,Allergic Rhinitis,LOW
muscle pain vomiting high fever chills,Malaria,HIGH
congestion and runny nose and mild fever and cough and sneezing,Common Cold,LOW
stomach cramps nausea dehydration fever vomiting diarrhea,Gastroenteritis,MEDIUM
"swelling, itchy skin, rough patches, dry skin, cracked skin",Eczema,LOW
joint pain muscle pain high fever bleeding gums,Dengue,HIGH
"blisters, itchy rash, fever, headache, loss of appetite",Chickenpox,MEDIUM
fatigue headache muscle pain nausea vomiting chills,Malaria,HIGH
difficulty concentrating fatigue persistent sadness,Depression,MEDIUM
swelling stomach pain dizziness,Food Allergy,MEDIUM
fatigue cold hands weakness dizziness pale skin shortness of breath,Anemia,MEDIUM
dry cracked skin and red patches and burning and thick nails and silvery scales and itching,Psoriasis,LOW
"itchy nose, watery eyes, nasal congestion, runny nose, itchy throat, sneezing",Allergic Rhinitis,LOW
"itching, red patches, burning, thick nails, silvery scales, dry cracked skin",Psoriasis,LOW
skin inflammation scarring oily skin,Acne,LOW
"fatigue, fever, headache, pain while chewing",Mumps,MEDIUM
blackheads pimples whiteheads scarring,Acne,LOW
"fatigue, weight loss, slow healing wounds, blurred vision, frequent urination",Diabetes,HIGH
"bleeding gums, severe headache, joint pain, pain behind eyes, rash",Dengue,HIGH
pain behind eyes and muscle pain and severe headache,Dengue,HIGH
cramping abdominal pain bloating gas constipation,Irritable Bowel Syndrome,LOW
sensitivity to sound and sensitivity to light and severe headache and nausea,Migraine,LOW
sweating and anxiety and weight loss,Hyperthyroidism,MEDIUM
bloating and dark stool and vomiting and nausea and weight loss and heartburn,Peptic Ulcer,MEDIUM
shortness of breath and fatigue and chest discomfort and mucus production,Bronchitis,MEDIUM
dehydration vomiting diarrhea stomach cramps,Gastroenteritis,MEDIUM
dizziness chest pain shortness of breath irregular heartbeat fatigue,Heart Disease,HIGH
"scaling, burning sensation, cracking skin",Fungal Infection,LOW
sleep problems and fatigue and persistent sadness and loss of interest,Depression,MEDIUM
cough and white spots in mouth and high fever,Measles,MEDIUM
"vomiting, sensitivity to light, severe headache, sensitivity to sound, nausea, visual disturbances",Migraine,LOW
itchy rash loss of appetite fever headache,Chickenpox,MEDIUM
"frequent urination, increased thirst, slow healing wounds",Diabetes,HIGH
nasal congestion and fever and facial pain and runny nose and headache,Sinusitis,LOW
increased thirst slow healing wounds blurred vision,Diabetes,HIGH
fatigue and dizziness and irregular heartbeat,Heart Disease,HIGH
rapid heartbeat fatigue difficulty sleeping weight loss tremors sweating,Hyperthyroidism,MEDIUM
"redness, cracking skin, itching, burning sensation, scaling",Fungal Infection,LOW
mild fever watery eyes congestion cough sore throat runny nose,Common Cold,LOW
"swollen legs, irregular heartbeat, fatigue",Heart Disease,HIGH
