symptoms,disease,risk_level
"blurred vision, weight loss, increased thirst, slow healing wounds",Diabetes,HIGH
"itchy skin, rough patches, dry skin",Eczema,LOW
"frequent urination, swollen ankles, blood in urine, muscle cramps, foamy urine",Kidney Disease,HIGH
"fatigue, muscle aches, headache, pain while chewing, loss of appetite, swollen salivary glands",Mumps,MEDIUM
"headache, stomach pain, rash",Typhoid,HIGH
"confusion, loss of consciousness, anxiety",Epilepsy,HIGH
stomach pain dehydration fever weakness vomiting,Food Poisoning,MEDIUM
cough and nasal congestion and headache and fever,Sinusitis,LOW
balance problems and spinning sensation and dizziness,Vertigo,MEDIUM
"vomiting, fatigue, sweating, chills, high fever, muscle pain",Malaria,HIGH
cracked skin swelling red patches dry skin rough patches itchy skin,Eczema,LOW
halos around lights nausea eye pain vision loss blurred vision headache,Glaucoma,HIGH
"difficulty breathing, chest tightness, coughing at night, wheezing, rapid breathing",Asthma,MEDIUM
sneezing runny nose itchy throat nasal congestion watery eyes itchy nose,Allergic Rhinitis,LOW
"difficulty swallowing, heartburn, sour taste, chest pain, bloating, regurgitation",Acid Reflux (GERD),LOW
nausea jaundice loss of appetite,Hepatitis,HIGH
itchy eyes and watery eyes and discharge from eyes,Conjunctivitis,LOW
chest discomfort and persistent cough and mucus production and fatigue and mild fever and shortness of breath,Bronchitis,MEDIUM
headache and vision problems and dizziness and nosebleeds,Hypertension,HIGH
"runny nose, facial pain, bad breath, cough, fever, nasal congestion",Sinusitis,LOW
"irregular heartbeat, dizziness, fatigue, shortness of breath, chest pain, swollen legs",Heart Disease,HIGH
sweating and fatigue and muscle pain and high fever and nausea,Malaria,HIGH
"pale skin, headache, shortness of breath, cold hands, weakness, fatigue",Anemia,MEDIUM
"fever, nausea, diarrhea, vomiting",Gastroenteritis,MEDIUM
high fever fatigue vomiting nausea muscle pain,Malaria,HIGH
"scarring, blackheads, oily skin, skin inflammation, whiteheads, pimples",Acne,LOW
fever cough bad breath headache,Sinusitis,LOW
"bleeding gums, pain behind eyes, muscle pain, high fever, rash, severe headache",Dengue,HIGH
nausea dehydration weakness stomach pain,Food Poisoning,MEDIUM
fatigue high fever cough body aches,Influenza (Flu),MEDIUM
loss of interest persistent sadness difficulty concentrating,Depression,MEDIUM
bloating heartburn difficulty swallowing regurgitation sour taste chest pain,Acid Reflux (GERD),LOW
spinning sensation dizziness balance problems nausea,Vertigo,MEDIUM
nausea pain during urination vomiting frequent urination pink urine severe pain in side,Kidney Stones,HIGH
dehydration and diarrhea and nausea,Food Poisoning,MEDIUM
"increased thirst, blurred vision, weight loss, slow healing wounds, fatigue",Diabetes,HIGH
"headache, dehydration, stomach cramps, diarrhea, nausea, vomiting",Gastroenteritis,MEDIUM
"diarrhea, dehydration, weakness, stomach pain, vomiting",Food Poisoning,MEDIUM
watery eyes sore throat cough mild fever congestion,Common Cold,LOW
dry skin and fatigue and muscle weakness and depression,Hypothyroidism,MEDIUM
"weakness, rash, loss of appetite",Typhoid,HIGH
"chest discomfort, mild fever, shortness of breath",Bronchitis,MEDIUM
vision loss halos around lights blurred vision eye pain nausea headache,Glaucoma,HIGH
"waking up at night, irritability, difficulty concentrating",Insomnia,LOW
cramping bloating diarrhea constipation abdominal pain,Irritable Bowel Syndrome,LOW
vomiting nausea fever stomach cramps headache diarrhea,Gastroenteritis,MEDIUM
"restlessness, excessive worry, difficulty concentrating",Anxiety Disorder,MEDIUM
"abdominal pain, constipation, diarrhea, bloating, cramping",Irritable Bowel Syndrome,LOW
"cramping, constipation, bloating, diarrhea, abdominal pain",Irritable Bowel Syndrome,LOW
"watery eyes, itchy throat, itchy nose, sneezing, nasal congestion, runny nose",Allergic Rhinitis,LOW
"white spots in mouth, red eyes, cough",Measles,MEDIUM
headache and nasal congestion and bad breath,Sinusitis,LOW
confusion unconsciousness nausea headache rapid heartbeat high body temperature,Heat Stroke,HIGH
difficulty concentrating sleep problems loss of interest,Depression,MEDIUM
bloating sour taste regurgitation chest pain,Acid Reflux (GERD),LOW
chest pain and difficulty breathing and cough with phlegm and fatigue and chills and sweating,Pneumonia,HIGH
bruising swelling muscle spasms limited movement weakness,Muscle Strain,LOW
"fatigue, night sweats, coughing blood, weight loss",Tuberculosis,HIGH
skin inflammation whiteheads scarring oily skin blackheads,Acne,LOW
"chest pain, cough with phlegm, fatigue, chills, sweating",Pneumonia,HIGH
"anxiety, staring spells, confusion, seizures, uncontrollable jerking, loss of consciousness",Epilepsy,HIGH
joint pain muscle pain high fever,Dengue,HIGH
"depression, cold sensitivity, muscle weakness",Hypothyroidism,MEDIUM
nausea confusion headache high body temperature red skin rapid heartbeat,Heat Stroke,HIGH
"cough, body aches, runny nose, high fever",Influenza (Flu),MEDIUM
stomach pain rash weakness prolonged fever,Typhoid,HIGH
loss of appetite fever muscle aches pain while chewing headache,Mumps,MEDIUM
"fever, headache, fatigue, pain while chewing, swollen salivary glands, muscle aches",Mumps,MEDIUM
blisters and redness and itchy skin and swelling and dry skin and cracking,Dermatitis,LOW
weakness swelling muscle pain muscle spasms limited movement bruising,Muscle Strain,LOW
itchy nose and itchy throat and nasal congestion and watery eyes and runny nose,Allergic Rhinitis,LOW
weakness shortness of breath headache,Anemia,MEDIUM
"high fever, chills, difficulty breathing, cough with phlegm, sweating",Pneumonia,HIGH
runny nose and white spots in mouth and high fever and sensitivity to light and rash and cough,Measles,MEDIUM
rash cough runny nose sensitivity to light,Measles,MEDIUM
sneezing nasal congestion watery eyes runny nose itchy nose itchy throat,Allergic Rhinitis,LOW
fatigue difficulty concentrating excessive worry muscle tension,Anxiety Disorder,MEDIUM
nausea and jaundice and joint pain and abdominal pain and dark urine,Hepatitis,HIGH
difficulty concentrating irritability difficulty falling asleep headache waking up at night,Insomnia,LOW
"slow healing wounds, frequent urination, blurred vision, fatigue, increased thirst, weight loss",Diabetes,HIGH
"muscle spasms, bruising, weakness, swelling, muscle pain",Muscle Strain,LOW
burning urination cloudy urine pelvic pain frequent urination,Urinary Tract Infection,MEDIUM
"rash, high fever, white spots in mouth, runny nose, sensitivity to light, red eyes",Measles,MEDIUM
joint pain rash high fever,Dengue,HIGH
sore throat congestion runny nose,Common Cold,LOW
"blurred vision, frequent urination, fatigue, increased thirst, weight loss, slow healing wounds",Diabetes,HIGH
"itchy rash, fever, red spots, fatigue, headache, blisters",Chickenpox,MEDIUM
burning and itching and red patches and silvery scales,Psoriasis,LOW
sweating and muscle pain and high fever,Malaria,HIGH
"tenderness on scalp, neck pain, fatigue, pressure around forehead",Tension Headache,LOW
"chest tightness, shortness of breath, difficulty breathing, wheezing, coughing at night, rapid breathing",Asthma,MEDIUM
persistent cough chest discomfort fatigue,Bronchitis,MEDIUM
redness ring-shaped rash itching scaling cracking skin burning sensation,Fungal Infection,LOW
jaundice dark urine abdominal pain,Hepatitis,HIGH
"dizziness, chest pain, vision problems, nosebleeds, shortness of breath, headache",Hypertension,HIGH
dull headache tenderness on scalp neck pain fatigue,Tension Headache,LOW
"sensitivity to light, vomiting, visual disturbances, severe headache, nausea, sensitivity to sound",Migraine,LOW
joint pain pain behind eyes bleeding gums severe headache,Dengue,HIGH
loss of appetite jaundice dark urine,Hepatitis,HIGH
watery eyes mild fever runny nose sneezing,Common Cold,LOW
"regurgitation, chest pain, difficulty swallowing",Acid Reflux (GERD),LOW
dull headache and tenderness on scalp and neck pain and pressure around forehead,Tension Headache,LOW
"sensitivity to light, itchy eyes, red eyes, gritty feeling, watery eyes, discharge from eyes",Conjunctivitis,LOW
"cracking, redness, dry skin, itchy skin, blisters",Dermatitis,LOW
gas cramping bloating,Irritable Bowel Syndrome,LOW
dry cracked skin and thick nails and red patches and itching,Psoriasis,LOW
headache and dry skin and dizziness and fatigue and thirst and dark urine,Dehydration,MEDIUM
swelling redness around joints joint pain,Arthritis,MEDIUM
rough patches swelling cracked skin itchy skin red patches dry skin,Eczema,LOW
"whiteheads, blackheads, pimples, oily skin, skin inflammation, scarring",Acne,LOW
redness and ring-shaped rash and itching and burning sensation and scaling,Fungal Infection,LOW
diarrhea dehydration weakness vomiting fever,Food Poisoning,MEDIUM
"back pain, joint pain, loss of height, stooped posture",Osteoporosis,MEDIUM
"loss of height, back pain, weakness",Osteoporosis,MEDIUM
"pimples, whiteheads, skin inflammation, scarring",Acne,LOW
fatigue and blood in urine and muscle cramps and foamy urine and frequent urination and swollen ankles,Kidney Disease,HIGH
dizziness and headache and balance problems and nausea,Vertigo,MEDIUM
fever vomiting weakness dehydration nausea,Food Poisoning,MEDIUM
constipation and nausea and severe abdominal pain,Appendicitis,HIGH
"scaling, burning sensation, cracking skin, itching, ring-shaped rash",Fungal Infection,LOW
sensitivity to light and discharge from eyes and red eyes and gritty feeling and itchy eyes,Conjunctivitis,LOW
weakness and loss of height and joint pain and bone fractures,Osteoporosis,MEDIUM
"neck pain, dull headache, fatigue, pressure around forehead",Tension Headache,LOW
anxiety confusion uncontrollable jerking,Epilepsy,HIGH
"mild fever, fatigue, persistent cough, mucus production, chest discomfort, shortness of breath",Bronchitis,MEDIUM
persistent cough fever night sweats chest pain,Tuberculosis,HIGH
whiteheads and scarring and oily skin,Acne,LOW
"fatigue, headache, dizziness",Dehydration,MEDIUM
headache vomiting balance problems spinning sensation dizziness nausea,Vertigo,MEDIUM
"coughing blood, weight loss, fever",Tuberculosis,HIGH
"coughing blood, fatigue, persistent cough, night sweats, chest pain, fever",Tuberculosis,HIGH
anxiety seizures staring spells loss of consciousness,Epilepsy,HIGH
pain while chewing fever swollen salivary glands fatigue,Mumps,MEDIUM
"rash, high fever, joint pain, pain behind eyes",Dengue,HIGH
seizures confusion uncontrollable jerking staring spells anxiety,Epilepsy,HIGH
coughing at night shortness of breath wheezing chest tightness difficulty breathing rapid breathing,Asthma,MEDIUM
"itchy throat, itchy nose, watery eyes, runny nose, sneezing, nasal congestion",Allergic Rhinitis,LOW
coughing at night and difficulty breathing and shortness of breath,Asthma,MEDIUM
cold hands dizziness fatigue,Anemia,MEDIUM
"headache, high body temperature, unconsciousness, red skin, rapid heartbeat, confusion",Heat Stroke,HIGH
"sneezing, itchy nose, itchy throat, nasal congestion, runny nose, watery eyes",Allergic Rhinitis,LOW
"itchy throat, runny nose, watery eyes, sneezing, itchy nose, nasal congestion",Allergic Rhinitis,LOW
"itchy skin, blisters, dry skin, swelling, cracking, redness",Dermatitis,LOW
"scarring, whiteheads, pimples, blackheads",Acne,LOW
swelling and blisters and dry skin,Dermatitis,LOW
"coughing at night, wheezing, rapid breathing, difficulty breathing, shortness of breath",Asthma,MEDIUM
"sneezing, mild fever, runny nose, sore throat, cough, congestion",Common Cold,LOW
"vomiting, spinning sensation, dizziness, balance problems, headache, nausea",Vertigo,MEDIUM
loss of appetite fatigue fever,Mumps,MEDIUM
high fever and difficulty breathing and chills and chest pain and sweating,Pneumonia,HIGH
"high fever, sweating, cough with phlegm, chest pain, difficulty breathing, chills",Pneumonia,HIGH
fatigue shortness of breath pale skin weakness headache dizziness,Anemia,MEDIUM
"weakness, fever, vomiting, diarrhea",Food Poisoning,MEDIUM
loss of appetite fatigue fever,Chickenpox,MEDIUM
"frequent urination, muscle cramps, swollen ankles, fatigue, blood in urine, foamy urine",Kidney Disease,HIGH
"blackheads, scarring, skin inflammation",Acne,LOW
cold sensitivity weight gain fatigue,Hypothyroidism,MEDIUM
chest pain fatigue fever coughing blood weight loss persistent cough,Tuberculosis,HIGH
muscle pain chills fatigue,Malaria,HIGH
vomiting and fever and diarrhea and weakness and stomach pain,Food Poisoning,MEDIUM
severe headache bleeding gums rash muscle pain,Dengue,HIGH
staring spells uncontrollable jerking anxiety loss of consciousness seizures,Epilepsy,HIGH
"blood in urine, frequent urination, muscle cramps, fatigue, swollen ankles, foamy urine",Kidney Disease,HIGH
sensitivity to light discharge from eyes itchy eyes gritty feeling red eyes watery eyes,Conjunctivitis,LOW
"swelling, muscle spasms, limited movement, bruising, weakness, muscle pain",Muscle Strain,LOW
dehydration stomach pain weakness diarrhea fever,Food Poisoning,MEDIUM
"nausea, spinning sensation, dizziness, balance problems, vomiting",Vertigo,MEDIUM
headache vision loss blurred vision eye pain halos around lights nausea,Glaucoma,HIGH
"fatigue, restlessness, difficulty concentrating",Anxiety Disorder,MEDIUM
headache dry mouth dry skin dark urine,Dehydration,MEDIUM
muscle pain swelling weakness limited movement,Muscle Strain,LOW
"spinning sensation, nausea, balance problems, dizziness",Vertigo,MEDIUM
itching dizziness hives swelling,Food Allergy,MEDIUM
constipation weight gain fatigue cold sensitivity muscle weakness dry skin,Hypothyroidism,MEDIUM
"loss of appetite, severe abdominal pain, constipation, vomiting, nausea, fever",Appendicitis,HIGH
headache and swollen salivary glands and muscle aches and fatigue and loss of appetite and pain while chewing,Mumps,MEDIUM
pale skin cold hands shortness of breath weakness dizziness fatigue,Anemia,MEDIUM
cough runny nose sore throat,Common Cold,LOW
"cold hands, dizziness, weakness, shortness of breath",Anemia,MEDIUM
cold sensitivity and constipation and weight gain,Hypothyroidism,MEDIUM
"diarrhea, bloating, cramping",Irritable Bowel Syndrome,LOW
"diarrhea, dehydration, vomiting, stomach pain",Food Poisoning,MEDIUM
"high body temperature, nausea, red skin, unconsciousness",Heat Stroke,HIGH
chills and high fever and headache,Influenza (Flu),MEDIUM
sensitivity to sound visual disturbances sensitivity to light nausea severe headache,Migraine,LOW
back pain and joint pain and loss of height and weakness,Osteoporosis,MEDIUM
foamy urine and blood in urine and swollen ankles and fatigue,Kidney Disease,HIGH
"severe headache, sensitivity to sound, nausea, visual disturbances, vomiting",Migraine,LOW
"chills, sweating, high fever, nausea",Malaria,HIGH
itchy skin and dry skin and rough patches and cracked skin and swelling,Eczema,LOW
strong urine odor cloudy urine frequent urination burning urination pelvic pain,Urinary Tract Infection,MEDIUM
"stomach pain, bloating, dark stool, nausea, weight loss, vomiting",Peptic Ulcer,MEDIUM
"cracking skin, scaling, redness, burning sensation, ring-shaped rash, itching",Fungal Infection,LOW
difficulty breathing shortness of breath rapid breathing,Asthma,MEDIUM
swelling and red patches and cracked skin and itchy skin and rough patches,Eczema,LOW
mild fever fatigue shortness of breath persistent cough mucus production chest discomfort,Bronchitis,MEDIUM
redness cracking skin itching scaling burning sensation ring-shaped rash,Fungal Infection,LOW
"chest pain, nosebleeds, shortness of breath",Hypertension,HIGH
"pink urine, vomiting, frequent urination, nausea",Kidney Stones,HIGH
"headache, muscle pain, high fever",Malaria,HIGH
"nausea, headache, dehydration",Gastroenteritis,MEDIUM
"persistent cough, shortness of breath, mucus production, chest discomfort, mild fever, fatigue",Bronchitis,MEDIUM
fatigue sweating rapid heartbeat tremors,Hyperthyroidism,MEDIUM
rash muscle pain high fever pain behind eyes joint pain,Dengue,HIGH
chest pain regurgitation difficulty swallowing sour taste bloating,Acid Reflux (GERD),LOW
joint pain and nausea and jaundice,Hepatitis,HIGH
gas bloating constipation cramping,Irritable Bowel Syndrome,LOW
headache red spots loss of appetite blisters,Chickenpox,MEDIUM
"fatigue, fever, persistent cough, night sweats, chest pain",Tuberculosis,HIGH
itching and nausea and dizziness,Food Allergy,MEDIUM
cough and sensitivity to light and rash and runny nose,Measles,MEDIUM
burning urination fever strong urine odor pelvic pain frequent urination,Urinary Tract Infection,MEDIUM
skin inflammation oily skin whiteheads pimples,Acne,LOW
fever cough headache,Sinusitis,LOW
"chest pain, persistent cough, weight loss, coughing blood, fever, fatigue",Tuberculosis,HIGH
weakness rash headache prolonged fever,Typhoid,HIGH
limited movement swelling bruising weakness muscle spasms,Muscle Strain,LOW
fatigue and chest pain and chills and difficulty breathing,Pneumonia,HIGH
"fatigue, muscle cramps, blood in urine",Kidney Disease,HIGH
"nausea, blurred vision, eye pain",Glaucoma,HIGH
"dull headache, pressure around forehead, tenderness on scalp, neck pain, fatigue",Tension Headache,LOW
fatigue and joint pain and jaundice and nausea and abdominal pain and dark urine,Hepatitis,HIGH
"chills, fatigue, cough with phlegm, chest pain, sweating, difficulty breathing",Pneumonia,HIGH
sensitivity to sound vomiting sensitivity to light visual disturbances severe headache,Migraine,LOW
regurgitation and heartburn and sour taste and difficulty swallowing,Acid Reflux (GERD),LOW
red skin unconsciousness headache confusion rapid heartbeat nausea,Heat Stroke,HIGH
"pelvic pain, fever, strong urine odor",Urinary Tract Infection,MEDIUM
weight loss and difficulty sleeping and fatigue and tremors,Hyperthyroidism,MEDIUM
"nausea, loss of appetite, abdominal pain, fatigue",Hepatitis,HIGH
severe headache and high fever and joint pain,Dengue,HIGH
back pain weakness joint pain bone fractures,Osteoporosis,MEDIUM
swollen legs dizziness chest pain shortness of breath irregular heartbeat fatigue,Heart Disease,HIGH
"vomiting, visual disturbances, sensitivity to sound, severe headache, sensitivity to light",Migraine,LOW
"dark urine, headache, dry skin",Dehydration,MEDIUM
fever diarrhea dehydration,Gastroenteritis,MEDIUM
"fever, nasal congestion, bad breath, headache, facial pain, cough",Sinusitis,LOW
"excessive worry, difficulty concentrating, restlessness, irritability, fatigue, sleep problems",Anxiety Disorder,MEDIUM
"fatigue, sweating, difficulty breathing, high fever, chest pain",Pneumonia,HIGH
sensitivity to sound and severe headache and visual disturbances and sensitivity to light and vomiting,Migraine,LOW
"itchy nose, sneezing, runny nose, watery eyes, itchy throat, nasal congestion",Allergic Rhinitis,LOW
"nausea, stomach cramps, headache, dehydration, vomiting, diarrhea",Gastroenteritis,MEDIUM
loss of appetite and diarrhea and stomach pain and headache and rash and weakness,Typhoid,HIGH
spinning sensation balance problems headache dizziness,Vertigo,MEDIUM
scaling redness burning sensation itching,Fungal Infection,LOW
shortness of breath dizziness cold hands weakness fatigue,Anemia,MEDIUM
cough and mild fever and sneezing and runny nose and sore throat and watery eyes,Common Cold,LOW
headache and difficulty concentrating and waking up at night,Insomnia,LOW
"difficulty concentrating, muscle tension, sleep problems, fatigue",Anxiety Disorder,MEDIUM
"waking up at night, difficulty falling asleep, headache, difficulty concentrating, daytime fatigue",Insomnia,LOW
staring spells loss of consciousness seizures confusion,Epilepsy,HIGH
pain while chewing muscle aches loss of appetite fatigue,Mumps,MEDIUM
burning sensation cracking skin scaling redness itching ring-shaped rash,Fungal Infection,LOW
cough runny nose body aches chills sore throat high fever,Influenza (Flu),MEDIUM
"diarrhea, fever, stomach pain, nausea",Food Poisoning,MEDIUM
severe abdominal pain and nausea and loss of appetite and fever and vomiting and constipation,Appendicitis,HIGH
pelvic pain burning urination frequent urination cloudy urine strong urine odor,Urinary Tract Infection,MEDIUM
joint pain and bone fractures and weakness and back pain and loss of height and stooped posture,Osteoporosis,MEDIUM
weight gain muscle weakness constipation depression fatigue cold sensitivity,Hypothyroidism,MEDIUM
pink urine and nausea and severe pain in side,Kidney Stones,HIGH
diarrhea fever nausea dehydration headache vomiting,Gastroenteritis,MEDIUM
dizziness shortness of breath chest pain headache nosebleeds vision problems,Hypertension,HIGH
"itchy skin, swelling, redness",Dermatitis,LOW
red patches silvery scales thick nails itching,Psoriasis,LOW
weight gain constipation cold sensitivity muscle weakness,Hypothyroidism,MEDIUM
mild fever runny nose congestion,Common Cold,LOW
"nasal congestion, runny nose, cough, facial pain",Sinusitis,LOW
weakness headache shortness of breath pale skin,Anemia,MEDIUM
nausea fever severe abdominal pain loss of appetite constipation vomiting,Appendicitis,HIGH
fatigue reduced range of motion joint pain,Arthritis,MEDIUM
dark urine thirst headache dizziness fatigue dry mouth,Dehydration,MEDIUM
"heartburn, bloating, sour taste",Acid Reflux (GERD),LOW
fatigue persistent cough coughing blood fever chest pain night sweats,Tuberculosis,HIGH
itchy skin swelling dry skin redness cracking,Dermatitis,LOW
dry skin itchy skin redness,Dermatitis,LOW
"chest pain, difficulty swallowing, regurgitation",Acid Reflux (GERD),LOW
chest pain fatigue irregular heartbeat dizziness,Heart Disease,HIGH
fatigue and muscle weakness and constipation and cold sensitivity,Hypothyroidism,MEDIUM
"blurred vision, slow healing wounds, weight loss",Diabetes,HIGH
weight loss anxiety sweating,Hyperthyroidism,MEDIUM
"bruising, weakness, muscle spasms, swelling, muscle pain, limited movement",Muscle Strain,LOW
"dark urine, fatigue, dizziness, dry skin, headache",Dehydration,MEDIUM
"white spots in mouth, cough, sensitivity to light, runny nose, high fever, rash",Measles,MEDIUM
unconsciousness and rapid heartbeat and red skin and confusion and high body temperature and nausea,Heat Stroke,HIGH
"cough with phlegm, difficulty breathing, chest pain, sweating, fatigue",Pneumonia,HIGH
eye pain and halos around lights and headache and nausea and blurred vision,Glaucoma,HIGH
dehydration and vomiting and fever,Gastroenteritis,MEDIUM
severe pain in side frequent urination vomiting nausea pink urine,Kidney Stones,HIGH
diarrhea dehydration fever,Food Poisoning,MEDIUM
runny nose congestion mild fever watery eyes sore throat sneezing,Common Cold,LOW
sensitivity to light rash cough,Measles,MEDIUM
chest pain high fever fatigue,Pneumonia,HIGH
dizziness and thirst and dry mouth and headache and dry skin and fatigue,Dehydration,MEDIUM
stomach pain nausea hives,Food Allergy,MEDIUM
"cough, sensitivity to light, red eyes, rash",Measles,MEDIUM
stomach pain and dizziness and hives,Food Allergy,MEDIUM
loss of appetite and headache and red spots,Chickenpox,MEDIUM
"dizziness, chest pain, vision problems, headache",Hypertension,HIGH
blurred vision fatigue increased thirst frequent urination,Diabetes,HIGH
blood in urine swollen ankles muscle cramps frequent urination fatigue foamy urine,Kidney Disease,HIGH
"constipation, gas, diarrhea, abdominal pain",Irritable Bowel Syndrome,LOW
"sore throat, chills, runny nose, fatigue",Influenza (Flu),MEDIUM
swelling stomach pain dizziness,Food Allergy,MEDIUM
"headache, fatigue, high fever, chills, vomiting, muscle pain",Malaria,HIGH
dizziness swelling nausea,Food Allergy,MEDIUM
fatigue tenderness on scalp dull headache,Tension Headache,LOW
diarrhea abdominal pain bloating constipation,Irritable Bowel Syndrome,LOW
"sore throat, cough, runny nose, headache, fatigue, body aches",Influenza (Flu),MEDIUM
"headache, thirst, dry mouth, dizziness, dark urine",Dehydration,MEDIUM
"neck pain, fatigue, tenderness on scalp, dull headache, pressure around forehead",Tension Headache,LOW
"headache, prolonged fever, loss of appetite, stomach pain, diarrhea",Typhoid,HIGH
"dry skin, headache, thirst, dark urine, dry mouth",Dehydration,MEDIUM
"frequent urination, vomiting, nausea, pink urine, severe pain in side, pain during urination",Kidney Stones,HIGH
slow healing wounds and frequent urination and weight loss and fatigue and increased thirst,Diabetes,HIGH
"pink urine, nausea, vomiting, pain during urination, severe pain in side",Kidney Stones,HIGH
"regurgitation, heartburn, sour taste, chest pain, difficulty swallowing",Acid Reflux (GERD),LOW
"frequent urination, nausea, pain during urination, severe pain in side, pink urine, vomiting",Kidney Stones,HIGH
muscle cramps and swollen ankles and fatigue and foamy urine and blood in urine,Kidney Disease,HIGH
sensitivity to light and rash and red eyes and runny nose and high fever,Measles,MEDIUM
"fatigue, thirst, headache",Dehydration,MEDIUM
fever and cloudy urine and strong urine odor and frequent urination and pelvic pain and burning urination,Urinary Tract Infection,MEDIUM
silvery scales red patches dry cracked skin itching,Psoriasis,LOW
"dry skin, dizziness, dark urine",Dehydration,MEDIUM
fever and dehydration and weakness and nausea and diarrhea,Food Poisoning,MEDIUM
headache blurred vision halos around lights eye pain,Glaucoma,HIGH
"headache, stomach cramps, diarrhea, dehydration, fever",Gastroenteritis,MEDIUM
headache irritability difficulty concentrating waking up at night daytime fatigue,Insomnia,LOW
"red skin, confusion, headache, high body temperature, nausea, unconsciousness",Heat Stroke,HIGH
"muscle weakness, constipation, depression, weight gain, dry skin, cold sensitivity",Hypothyroidism,MEDIUM
"night sweats, weight loss, coughing blood, chest pain, fatigue, fever",Tuberculosis,HIGH
"bloating, gas, constipation, diarrhea",Irritable Bowel Syndrome,LOW
weakness and limited movement and muscle pain and muscle spasms and bruising,Muscle Strain,LOW
night sweats coughing blood fatigue weight loss fever,Tuberculosis,HIGH
high fever muscle pain headache nausea,Malaria,HIGH
staring spells confusion anxiety,Epilepsy,HIGH
"weight gain, dry skin, cold sensitivity, depression, muscle weakness",Hypothyroidism,MEDIUM
